513547.92	5403429.81	288.45	0
513547.96	5403431.26	288.65	0
513548.06	5403433.00	292.42	1
513548.05	5403434.37	288.94	0
513548.13	5403436.04	291.73	1
513548.18	5403437.61	292.36	1
513548.18	5403439.00	288.95	0
513548.22	5403440.45	288.98	0
513548.26	5403468.67	287.86	0
513548.20	5403467.23	287.82	0
513548.14	5403465.68	287.78	0
513548.08	5403464.03	287.82	0
513548.03	5403462.58	287.73	0
513547.97	5403461.04	287.73	0
513547.92	5403459.49	287.85	0
513547.86	5403457.94	287.85	0
513547.83	5403456.42	289.93	1
513547.79	5403454.90	291.35	1
513547.76	5403453.39	293.62	1
513547.68	5403451.93	291.67	1
513547.58	5403450.32	288.31	0
513547.55	5403448.82	290.34	1
513547.47	5403447.33	288.38	0
513547.52	5403446.02	296.72	1
513547.36	5403444.25	288.82	0
513547.31	5403442.71	289.07	0
513547.29	5403441.28	292.11	1
513547.22	5403439.69	291.05	1
513547.16	5403438.14	290.76	1
513547.12	5403436.65	291.95	1
513547.06	5403435.21	291.80	1
513547.04	5403433.81	294.65	1
513546.95	5403432.14	292.06	1
513546.85	5403430.42	288.75	0
513545.98	5403429.56	291.42	1
513546.01	5403430.96	290.71	1
513546.10	5403432.67	293.98	1
513546.11	5403434.07	291.28	1
513546.17	5403435.69	293.05	1
513546.21	5403437.20	292.56	1
513546.21	5403438.63	290.01	1
513546.24	5403440.14	289.04	0
513546.34	5403441.82	292.87	1
513546.32	5403443.11	288.75	0
513546.36	5403444.65	288.61	0
513546.40	5403446.19	288.34	0
513546.44	5403447.73	288.20	0
513546.56	5403449.42	294.45	1
513546.59	5403450.92	293.22	1
513546.63	5403452.35	293.46	1
513546.65	5403453.85	291.60	1
513546.64	5403455.34	287.89	0
513546.69	5403456.88	287.81	0
513546.73	5403458.43	287.79	0
513546.77	5403459.97	287.74	0
513546.81	5403461.42	287.81	0
513546.85	5403462.96	287.76	0
513546.89	5403464.50	287.80	0
513546.94	5403466.05	287.87	0
513546.98	5403467.59	287.84	0
513547.02	5403469.14	287.88	0
513547.06	5403470.58	287.96	0
513547.11	5403472.23	287.93	0
513547.15	5403473.67	288.01	0
513547.19	5403475.21	288.15	0
513547.23	5403476.75	288.15	0
513547.27	5403478.30	288.13	0
513547.31	5403479.74	288.08	0
513547.35	5403481.28	288.13	0
513547.40	5403482.83	288.20	0
513547.44	5403484.37	288.26	0
513547.48	5403485.81	288.16	0
513547.52	5403487.36	288.25	0
513547.56	5403488.90	288.36	0
513547.61	5403490.45	288.32	0
513547.65	5403491.99	288.44	0
513547.69	5403493.54	288.28	0
513547.73	5403495.09	288.27	0
513547.78	5403496.63	288.45	0
513547.82	5403498.07	288.42	0
513547.87	5403499.52	290.04	1
513547.90	5403501.16	288.62	0
513547.97	5403502.51	291.59	1
513547.99	5403504.26	288.56	0
513548.02	5403505.72	288.41	0
513548.06	5403507.27	288.36	0
513548.11	5403508.83	288.36	0
513548.17	5403510.24	290.08	1
513548.19	5403511.94	288.29	0
513548.23	5403513.48	288.36	0
513548.28	5403515.04	288.32	0
513548.25	5403521.94	288.44	0
513548.21	5403520.80	288.45	0
513548.16	5403519.55	288.45	0
513548.11	5403518.20	288.38	0
513548.06	5403516.86	288.28	0
513548.01	5403515.51	288.30	0
513547.96	5403514.16	288.31	0
513547.90	5403512.70	288.37	0
513547.85	5403511.35	288.38	0
513547.80	5403510.01	288.32	0
513547.75	5403508.65	288.39	0
513547.70	5403507.20	288.37	0
513547.64	5403505.75	288.41	0
513547.59	5403504.30	288.44	0
513547.54	5403502.84	288.49	0
513547.48	5403501.40	288.37	0
513547.43	5403499.95	288.39	0
513547.38	5403498.50	288.46	0
513547.32	5403497.05	288.45	0
513547.26	5403495.51	288.25	0
513547.21	5403494.07	288.26	0
513547.15	5403492.51	288.28	0
513547.10	5403491.06	288.35	0
513547.04	5403489.52	288.32	0
513546.99	5403488.07	288.36	0
513546.93	5403486.53	288.14	0
513546.87	5403484.98	288.19	0
513546.82	5403483.53	288.33	0
513546.76	5403481.88	288.25	0
513546.71	5403480.44	288.17	0
513546.65	5403478.89	288.15	0
513546.60	5403477.44	288.28	0
513546.54	5403475.90	288.28	0
513546.48	5403474.35	288.08	0
513546.43	5403472.91	288.01	0
513546.37	5403471.26	288.05	0
513546.31	5403469.82	287.93	0
513546.26	5403468.27	287.95	0
513546.20	5403466.72	287.90	0
513546.14	5403465.18	287.82	0
513546.09	5403463.63	287.86	0
513546.03	5403462.19	287.81	0
513545.98	5403460.64	287.77	0
513545.92	5403458.99	287.77	0
513545.86	5403457.54	287.79	0
513545.81	5403456.00	287.81	0
513545.75	5403454.45	287.88	0
513545.70	5403453.01	287.92	0
513545.69	5403451.54	292.06	1
513545.66	5403450.04	293.89	1
513545.55	5403448.41	290.05	1
513545.47	5403446.82	288.29	0
513545.42	5403445.38	288.16	0
513545.38	5403443.78	289.71	1
513545.31	5403442.30	288.64	0
513545.31	5403440.90	292.66	1
513545.25	5403439.35	292.23	1
513545.23	5403437.92	294.78	1
513545.15	5403436.33	293.65	1
513545.06	5403434.65	290.59	1
513545.01	5403433.13	291.06	1
513544.95	5403431.70	291.17	1
513544.95	5403430.34	294.61	1
513544.03	5403430.80	291.69	1
513544.13	5403432.44	295.48	1
513544.11	5403433.76	291.33	1
513544.12	5403435.19	289.00	0
513544.16	5403436.74	289.09	0
513544.24	5403438.40	291.78	1
513544.30	5403439.99	293.03	1
513544.27	5403441.25	288.36	0
513544.31	5403442.79	288.23	0
513544.42	5403444.50	293.57	1
513544.40	5403445.88	288.24	0
513544.51	5403447.58	294.22	1
513544.53	5403449.06	291.89	1
513544.52	5403450.51	288.09	0
513544.56	5403452.05	287.94	0
513544.63	5403453.54	290.90	1
513544.64	5403455.04	287.86	0
513544.68	5403456.58	287.80	0
513544.72	5403458.13	287.85	0
513544.76	5403459.57	287.82	0
513544.80	5403461.12	287.80	0
513544.84	5403462.66	287.89	0
513544.88	5403464.21	287.88	0
513544.92	5403465.75	287.97	0
513544.97	5403467.30	288.01	0
513545.01	5403468.84	287.99	0
513545.05	5403470.39	288.09	0
